------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |     Aki    | Acc. |                  Ei           Ek                  | Configurations  |    Terms   |Type|
          Wavelength |          Wavelength |     s^-1   |      |                 (eV)         (eV)                 |                 |            |    |
           Vac  (Å)  |           Vac  (Å)  |            |      |                                                   |                 |            |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                     |                     |            |      |                                                   |                 |            |    |
        320.2926     |        320.2926     |            |      |    20.96421783567       -     59.67378            |  1s.2p - 2p2    |  3P* - 3P  |    |
        320.2926     |        320.2926     |            |      |    20.96409534981       -     59.67378            |  1s.2p - 2p2    |  3P* - 3P  |    |
        320.2926     |        320.2926     |            |      |    20.96408587426       -     59.67378            |  1s.2p - 2p2    |  3P* - 3P  |    |
        505.61       |        505.5004     |            |      |     0.0000000           -     24.527022           |    1s2 - 1s.15p |  1S  - 1P* |    |
        505.75       |        505.6843     |            |      |     0.0000000           -     24.518099           |    1s2 - 1s.14p |  1S  - 1P* |    |
                     |                     |            |      |                                                   |                 |            |    |
        505.90       |        505.9125     |            |      |     0.0000000           -     24.507041           |    1s2 - 1s.13p |  1S  - 1P* |    |
        506.31       |        506.2003     |            |      |     0.0000000           -     24.493107           |    1s2 - 1s.12p |  1S  - 1P* |    |
        506.56       |        506.5705     |            |      |     0.0000000           -     24.475207           |    1s2 - 1s.11p |  1S  - 1P* |    |
        507.08       |        507.058021   |  1.5929e 07| AAA  |     0.0000000           -     24.45167722834      |    1s2 - 1s.10p |  1S  - 1P* |    |
        507.71       |        507.718095   |  2.1826e 07| AAA  |     0.0000000           -     24.41988808530      |    1s2 - 1s.9p  |  1S  - 1P* |    |
                     |                     |            |      |                                                   |                 |            |    |
        508.63       |        508.643376   |  3.1031e 07| AAA  |     0.0000000           -     24.37546547115      |    1s2 - 1s.8p  |  1S  - 1P* |    |
        509.97       |        509.998293   |  4.6224e 07| AAA  |     0.0000000           -     24.31070695665      |    1s2 - 1s.7p  |  1S  - 1P* |    |
        512.07       |        512.098563   |  7.3174e 07| AAA  |     0.0000000           -     24.21100146141      |    1s2 - 1s.6p  |  1S  - 1P* |    |
        515.596      |        515.616842   |  1.2582e 08| AAA  |     0.0000000           -     24.0457992013       |    1s2 - 1s.5p  |  1S  - 1P* |    |
        522.186      |        522.213086   |  2.4356e 08| AAA  |     0.0000000           -     23.7420688828       |    1s2 - 1s.4p  |  1S  - 1P* |    |
                     |                     |            |      |                                                   |                 |            |    |
        537.0293     |        537.029918   |  5.6634e 08| AAA  |     0.0000000           -     23.0870173854       |    1s2 - 1s.3p  |  1S  - 1P* |    |
