Time - Voltage	Amplitude - Voltage
0	-3.8379
0.001	-3.8989
0.002	-3.9478
0.003	-3.9697
0.004	-3.9722
0.005	-3.9624
0.006	-3.9502
0.007	-3.9526
0.008	-3.9673
0.009	-3.9844
0.01	-3.9966
0.011	-3.999
0.012	-3.9868
0.013	-3.9648
0.014	-3.938
0.015	-3.9404
0.016	-3.9648
0.017	-3.9941
0.018	-4.0039
0.019	-3.9941
0.02	-3.9893
0.021	-3.9966
0.022	-4.0039
0.023	-4.0039
0.024	-4.0015
0.025	-4.0063
0.026	-3.999
0.027	-3.9697
0.028	-3.9282
0.029	-3.9062
0.03	-3.9209
0.031	-3.9624
0.032	-3.9868
0.033	-3.9893
0.034	-3.9624
0.035	-3.9014
0.036	-3.8452
0.037	-3.8452
0.038	-3.9087
0.039	-3.96
0.04	-3.9819
0.041	-3.9746
0.042	-3.9429
0.043	-3.8794
0.044	-3.7988
0.045	-3.7598
0.046	-3.7988
0.047	-3.8672
0.048	-3.916
0.049	-3.9355
0.05	-3.916
0.051	-3.8501
0.052	-3.7378
0.053	-3.6255
0.054	-3.5767
0.055	-3.606
0.056	-3.6475
0.057	-3.645
0.058	-3.5815
0.059	-3.4937
0.06	-3.4229
0.061	-3.4155
0.062	-3.4937
0.063	-3.6011
0.064	-3.6548
0.065	-3.6353
0.066	-3.5327
0.067	-3.3423
0.068	-3.1763
0.069	-3.0908
0.07	-3.064
0.071	-3.1104
0.072	-3.1958
0.073	-3.2617
0.074	-3.2935
0.075	-3.291
0.076	-3.2495
0.077	-3.1909
0.078	-3.1323
0.079	-3.1128
0.08	-3.1348
0.081	-3.1787
0.082	-3.2227
0.083	-3.2617
0.084	-3.2104
0.085	-3.0518
0.086	-2.8345
0.087	-2.6489
0.088	-2.5732
0.089	-2.627
0.09	-2.7051
0.091	-2.7026
0.092	-2.6099
0.093	-2.4219
0.094	-2.229
0.095	-2.1729
0.096	-2.2925
0.097	-2.5195
0.098	-2.6978
0.099	-2.6709
0.1	-2.4194
0.101	-2.0679
0.102	-1.8018
0.103	-1.7407
0.104	-1.8994
0.105	-2.1826
0.106	-2.4121
0.107	-2.4365
0.108	-2.2388
0.109	-1.9531
0.11	-1.7627
0.111	-1.7456
0.112	-1.897
0.113	-2.1411
0.114	-2.3145
0.115	-2.3315
0.116	-2.2192
0.117	-2.0312
0.118	-1.8799
0.119	-1.8164
0.12	-1.8018
0.121	-1.814
0.122	-1.8042
0.123	-1.7578
0.124	-1.6919
0.125	-1.6284
0.126	-1.5796
0.127	-1.5283
0.128	-1.4624
0.129	-1.4307
0.13	-1.4209
0.131	-1.4136
0.132	-1.4331
0.133	-1.4478
0.134	-1.4258
0.135	-1.3745
0.136	-1.2988
0.137	-1.2207
0.138	-1.1963
0.139	-1.2061
0.14	-1.2036
0.141	-1.1865
0.142	-1.1353
0.143	-1.0767
0.144	-1.04
0.145	-1.0303
0.146	-1.0718
0.147	-1.1694
0.148	-1.2744
0.149	-1.3208
0.15	-1.2549
0.151	-1.123
0.152	-1.0132
0.153	-0.9595
0.154	-0.9497
0.155	-0.9717
0.156	-1.0083
0.157	-1.0181
0.158	-0.9985
0.159	-0.9595
0.16	-0.9131
0.161	-0.8813
0.162	-0.8691
0.163	-0.8716
0.164	-0.8813
0.165	-0.9009
0.166	-0.9204
