Time - Voltage	Amplitude - Voltage
26:46.5	-3.816
26:46.5	-3.674
26:46.5	-4.233
26:46.5	-4.387
26:46.5	-3.801
26:46.5	-3.799
26:46.5	-4.114
26:46.5	-4.102
26:46.5	-4.209
26:46.6	-4.209
26:46.6	-4.08
26:46.6	-4.077
26:46.6	-4.246
26:46.6	-4.37
26:46.6	-4.109
26:46.6	-3.613
26:46.6	-4.319
26:46.6	-4.375
26:46.6	-4.094
26:46.6	-4.214
26:46.6	-4.084
26:46.7	-3.855
26:46.7	-4.048
26:46.7	-4.387
26:46.7	-4.307
26:46.7	-3.787
26:46.7	-3.684
26:46.7	-4.331
26:46.7	-4.441
26:46.7	-4.124
26:46.7	-3.235
26:46.8	-3.872
26:46.8	-4.429
26:46.8	-4.387
26:46.8	-3.616
26:46.8	-3.945
26:46.8	-4.341
26:46.8	-4.06
26:46.8	-4.414
26:46.8	-4.348
26:46.8	-3.992
26:46.8	-3.821
26:46.9	-4.109
26:46.9	-4.485
26:46.9	-4.312
26:46.9	-3.411
26:46.9	-3.828
26:46.9	-4.565
26:46.9	-4.258
26:46.9	-3.948
26:46.9	-3.547
26:46.9	-3.987
26:46.9	-4.429
26:47.0	-3.979
26:47.0	-3.352
26:47.0	-3.662
26:47.0	-3.799
26:47.0	-4.338
26:47.0	-3.892
26:47.0	-2.773
26:47.0	-2.974
26:47.0	-4.043
26:47.0	-4.158
26:47.0	-3.264
26:47.1	-3.21
26:47.1	-3.479
26:47.1	-4.053
26:47.1	-3.323
26:47.1	-3.32
26:47.1	-3.596
26:47.1	-3.794
26:47.1	-3.323
26:47.1	-3.701
26:47.1	-3.779
26:47.1	-3.262
26:47.2	-3.337
26:47.2	-3.872
26:47.2	-4.087
26:47.2	-3.643
26:47.2	-3.535
26:47.2	-3.484
26:47.2	-3.997
26:47.2	-4.15
26:47.2	-4.231
26:47.2	-3.74
26:47.3	-3.345
26:47.3	-3.579
26:47.3	-4.229
26:47.3	-4.302
26:47.3	-2.781
26:47.3	-2.952
26:47.3	-4.036
26:47.3	-4.341
26:47.3	-3.794
26:47.3	-3.635
26:47.3	-3.818
26:47.4	-3.994
26:47.4	-4.202
26:47.4	-4.094
26:47.4	-3.774
26:47.4	-3.64
26:47.4	-3.726
26:47.4	-4.407
26:47.4	-4.07
26:47.4	-3.054
26:47.4	-3.328
26:47.4	-3.975
26:47.5	-4.153
26:47.5	-3.499
26:47.5	-3.44
26:47.5	-3.662
26:47.5	-4.304
26:47.5	-4.338
26:47.5	-3.633
26:47.5	-3
26:47.5	-2.986
26:47.5	-4.109
26:47.5	-4.263
