Time - Voltage	Amplitude - Voltage
04:34.7	-1.753
04:34.7	-2.205
04:34.7	-2.041
04:34.7	-2.114
04:34.7	-2.1
04:34.7	-2.009
04:34.8	-2.158
04:34.8	-2.075
04:34.8	-2.28
04:34.8	-1.868
04:34.8	-2.361
04:34.8	-2.244
04:34.8	-2.344
04:34.8	-2.014
04:34.8	-1.956
04:34.8	-2.017
04:34.8	-2.48
04:34.9	-2.234
04:34.9	-1.721
04:34.9	-2.119
04:34.9	-2.156
04:34.9	-2.676
04:34.9	-2.366
04:34.9	-2.209
04:34.9	-2.117
04:34.9	-2.427
04:34.9	-2.593
04:34.9	-2.664
04:35.0	-2.363
04:35.0	-1.98
04:35.0	-2.515
04:35.0	-2.388
04:35.0	-2.512
04:35.0	-2.056
04:35.0	-2.187
04:35.0	-2.854
04:35.0	-3.184
04:35.0	-2.664
04:35.0	-2.19
04:35.1	-2.92
04:35.1	-3.252
04:35.1	-3.293
04:35.1	-2.402
04:35.1	-2.234
04:35.1	-2.698
04:35.1	-3.167
04:35.1	-2.717
04:35.1	-2.488
04:35.1	-2.241
04:35.1	-2.356
04:35.2	-2.847
04:35.2	-3.076
04:35.2	-2.82
04:35.2	-2.026
04:35.2	-2.393
04:35.2	-2.856
04:35.2	-2.507
04:35.2	-2.354
04:35.2	-2.739
04:35.2	-2.573
04:35.2	-3.245
04:35.3	-3.311
04:35.3	-3.076
04:35.3	-2.505
04:35.3	-2.839
04:35.3	-3.191
04:35.3	-2.546
04:35.3	-2.278
04:35.3	-2.48
04:35.3	-2.944
04:35.3	-3.008
04:35.3	-3.025
04:35.4	-2.598
04:35.4	-2.683
04:35.4	-3.052
04:35.4	-3.269
04:35.4	-3.318
04:35.4	-2.861
04:35.4	-3.042
04:35.4	-2.986
04:35.4	-3.103
04:35.4	-3.013
04:35.4	-2.856
04:35.5	-2.415
04:35.5	-2.759
04:35.5	-2.947
04:35.5	-3.362
04:35.5	-3.274
04:35.5	-2.214
04:35.5	-2.549
04:35.5	-2.903
04:35.5	-3.281
04:35.5	-2.671
04:35.5	-2.429
04:35.6	-3.074
04:35.6	-3.638
04:35.6	-2.812
04:35.6	-2.695
04:35.6	-2.876
04:35.6	-2.927
04:35.6	-3.022
04:35.6	-2.866
04:35.6	-2.668
04:35.6	-2.129
04:35.7	-2.446
04:35.7	-2.747
04:35.7	-2.717
04:35.7	-2.405
04:35.7	-2.524
04:35.7	-3.245
04:35.7	-3.411
04:35.7	-3.069
04:35.7	-2.712
04:35.7	-2.695
04:35.7	-3.103
04:35.8	-3.425
04:35.8	-2.839
04:35.8	-2.937
04:35.8	-2.893
04:35.8	-3.069
04:35.8	-3.313
04:35.8	-2.637
04:35.8	-2.251
04:35.8	-2.808
04:35.8	-3.145
04:35.8	-3.01
04:35.9	-3.018
04:35.9	-2.449
04:35.9	-2.937
04:35.9	-3.384
04:35.9	-3.335
04:35.9	-2.878
04:35.9	-3.037
04:35.9	-2.771
04:35.9	-3.04
04:35.9	-3.198
04:35.9	-2.566
04:36.0	-2.532
04:36.0	-2.634
04:36.0	-2.603
04:36.0	-2.859
04:36.0	-2.217
04:36.0	-2.083
04:36.0	-2.898
04:36.0	-2.683
04:36.0	-2.598
04:36.0	-2.717
04:36.0	-2.361
04:36.1	-2.549
04:36.1	-2.893
04:36.1	-2.891
04:36.1	-2.612
04:36.1	-2.385
04:36.1	-2.28
04:36.1	-3
04:36.1	-2.832
04:36.1	-1.919
04:36.1	-2.278
04:36.2	-2.891
04:36.2	-2.854
04:36.2	-2.83
04:36.2	-2.256
04:36.2	-2.532
04:36.2	-2.605
04:36.2	-2.827
04:36.2	-3.113
04:36.2	-2.434
04:36.2	-2.085
04:36.2	-2.478
04:36.3	-2.695
04:36.3	-2.7
04:36.3	-1.992
04:36.3	-2.139
04:36.3	-2.625
04:36.3	-2.605
04:36.3	-2.454
04:36.3	-2.383
04:36.3	-1.943
04:36.3	-2.019
04:36.3	-2.712
04:36.3	-2.466
04:36.4	-2.097
04:36.4	-1.904
04:36.4	-2.065
04:36.4	-2.656
04:36.4	-2.307
04:36.4	-1.653
04:36.4	-2.009
04:36.4	-2.563
04:36.4	-2.219
04:36.4	-2.112
04:36.4	-1.66
04:36.5	-1.814
04:36.5	-2.012
04:36.5	-2.134
04:36.5	-2.122
04:36.5	-1.963
04:36.5	-1.868
04:36.5	-1.836
04:36.5	-2.317
04:36.5	-1.873
04:36.5	-1.775
04:36.6	-2.085
04:36.6	-1.985
04:36.6	-2.024
04:36.6	-2.214
04:36.6	-1.655
04:36.6	-1.316
04:36.6	-1.895
04:36.6	-2.383
04:36.6	-1.931
04:36.6	-1.426
04:36.6	-1.477
04:36.7	-2.214
04:36.7	-2.004
04:36.7	-1.304
04:36.7	-1.272
04:36.7	-1.521
04:36.7	-1.753
04:36.7	-1.523
04:36.7	-1.108
04:36.7	-1.606
04:36.7	-1.707
04:36.7	-1.685
04:36.8	-1.733
04:36.8	-1.36
04:36.8	-0.894
04:36.8	-1.125
04:36.8	-1.558
04:36.8	-1.331
04:36.8	-1.06
