Time - Voltage	Amplitude - Voltage
45:09.1	-3.43
45:09.1	-3.389
45:09.1	-3.433
45:09.1	-3.362
45:09.2	-3.435
45:09.2	-3.437
45:09.2	-3.328
45:09.2	-3.437
45:09.2	-3.416
45:09.2	-3.281
45:09.2	-3.384
45:09.2	-3.433
45:09.2	-3.42
45:09.2	-3.386
45:09.2	-3.293
45:09.3	-3.401
45:09.3	-3.442
45:09.3	-3.433
45:09.3	-3.413
45:09.3	-3.447
45:09.3	-3.333
45:09.3	-3.423
45:09.3	-3.425
45:09.3	-3.447
45:09.3	-3.367
45:09.3	-3.428
45:09.4	-3.447
45:09.4	-3.445
45:09.4	-3.223
45:09.4	-3.384
45:09.4	-3.44
45:09.4	-3.44
45:09.4	-3.372
45:09.4	-3.293
45:09.4	-3.386
45:09.4	-3.306
45:09.5	-3.164
45:09.5	-3.374
45:09.5	-3.286
45:09.5	-3.157
45:09.5	-3.164
45:09.5	-3.335
45:09.5	-3.433
45:09.5	-3.159
45:09.5	-3.159
45:09.5	-3.259
45:09.5	-3.357
45:09.6	-3.208
45:09.6	-3.127
45:09.6	-3.394
45:09.6	-3.303
45:09.6	-3.289
45:09.6	-3.376
45:09.6	-3.345
45:09.6	-3.352
45:09.6	-3.323
45:09.6	-3.416
45:09.6	-3.411
45:09.7	-3.232
45:09.7	-3.281
45:09.7	-3.406
45:09.7	-3.401
45:09.7	-3.347
45:09.7	-3.352
45:09.7	-3.342
45:09.7	-3.401
45:09.7	-3.442
45:09.7	-3.357
45:09.7	-3.374
45:09.8	-3.208
45:09.8	-3.354
45:09.8	-3.44
45:09.8	-3.354
45:09.8	-3.242
45:09.8	-3.342
45:09.8	-3.425
45:09.8	-3.374
45:09.8	-3.264
45:09.8	-3.335
45:09.8	-3.345
45:09.9	-3.342
45:09.9	-3.396
45:09.9	-3.367
45:09.9	-3.381
45:09.9	-3.381
45:09.9	-3.381
45:09.9	-3.418
45:09.9	-3.357
45:09.9	-3.408
45:09.9	-3.433
45:09.9	-3.413
45:10.0	-3.43
45:10.0	-3.367
45:10.0	-3.394
45:10.0	-3.433
45:10.0	-3.403
45:10.0	-3.435
45:10.0	-3.367
45:10.0	-3.428
45:10.0	-3.391
45:10.0	-3.413
45:10.0	-3.43
45:10.1	-3.257
45:10.1	-3.418
45:10.1	-3.406
45:10.1	-3.423
45:10.1	-3.437
45:10.1	-3.403
45:10.1	-3.357
45:10.1	-3.391
45:10.1	-3.433
45:10.1	-3.428
45:10.1	-3.259
45:10.2	-3.359
45:10.2	-3.386
45:10.2	-3.43
45:10.2	-3.279
45:10.2	-3.357
45:10.2	-3.372
45:10.2	-3.293
45:10.2	-3.394
45:10.2	-3.403
45:10.2	-3.418
45:10.2	-3.259
45:10.3	-3.408
45:10.3	-3.44
45:10.3	-3.372
45:10.3	-3.191
45:10.3	-3.357
45:10.3	-3.435
45:10.3	-3.435
45:10.3	-3.328
45:10.3	-3.311
45:10.3	-3.408
45:10.4	-3.408
45:10.4	-3.347
45:10.4	-3.398
45:10.4	-3.357
45:10.4	-3.24
45:10.4	-3.445
45:10.4	-3.391
45:10.4	-3.435
45:10.4	-3.25
45:10.4	-3.403
45:10.4	-3.445
45:10.5	-3.328
45:10.5	-3.376
45:10.5	-3.413
45:10.5	-3.442
45:10.5	-3.386
45:10.5	-3.337
45:10.5	-3.442
45:10.5	-3.406
45:10.5	-3.359
45:10.5	-3.442
45:10.5	-3.445
45:10.6	-3.416
45:10.6	-3.396
45:10.6	-3.416
45:10.6	-3.428
45:10.6	-3.435
45:10.6	-3.44
45:10.6	-3.445
45:10.6	-3.386
45:10.6	-3.442
45:10.6	-3.445
45:10.6	-3.423
45:10.7	-3.403
45:10.7	-3.44
45:10.7	-3.391
45:10.7	-3.425
45:10.7	-3.435
45:10.7	-3.418
45:10.7	-3.433
45:10.7	-3.352
45:10.7	-3.376
45:10.7	-3.425
45:10.7	-3.425
45:10.8	-3.43
45:10.8	-3.428
45:10.8	-3.433
45:10.8	-3.423
45:10.8	-3.433
45:10.8	-3.374
45:10.8	-3.42
45:10.8	-3.384
45:10.8	-3.364
45:10.8	-3.42
45:10.8	-3.433
45:10.9	-3.406
45:10.9	-3.425
45:10.9	-3.362
45:10.9	-3.43
45:10.9	-3.425
45:10.9	-3.423
45:10.9	-3.435
45:10.9	-3.433
45:10.9	-3.413
45:10.9	-3.437
45:11.0	-3.352
45:11.0	-3.437
45:11.0	-3.401
45:11.0	-3.416
45:11.0	-3.437
45:11.0	-3.411
45:11.0	-3.401
45:11.0	-3.401
45:11.0	-3.435
45:11.0	-3.42
45:11.0	-3.435
45:11.0	-3.425
45:11.1	-3.433
45:11.1	-3.43
45:11.1	-3.401
45:11.1	-3.425
45:11.1	-3.433
45:11.1	-3.311
45:11.1	-3.428
45:11.1	-3.44
45:11.1	-3.437
45:11.1	-3.342
45:11.1	-3.398
45:11.2	-3.42
45:11.2	-3.43
45:11.2	-3.437
45:11.2	-3.406
45:11.2	-3.435
45:11.2	-3.433
45:11.2	-3.428
45:11.2	-3.428
45:11.2	-3.43
45:11.2	-3.435
45:11.2	-3.413
45:11.3	-3.367
45:11.3	-3.42
45:11.3	-3.425
45:11.3	-3.42
45:11.3	-3.435
45:11.3	-3.425
45:11.3	-3.369
45:11.3	-3.433
45:11.3	-3.435
45:11.3	-3.435
45:11.4	-3.428
45:11.4	-3.43
45:11.4	-3.33
45:11.4	-3.083
45:11.4	-3.335
45:11.4	-3.43
45:11.4	-3.425
45:11.4	-3.416
45:11.4	-3.118
45:11.4	-3.303
45:11.4	-3.411
45:11.5	-3.298
45:11.5	-3.418
45:11.5	-3.274
45:11.5	-3.418
45:11.5	-3.181
45:11.5	-3.42
45:11.5	-3.406
45:11.5	-3.015
45:11.5	-3.411
45:11.5	-3.337
45:11.5	-3.42
45:11.6	-3.157
45:11.6	-3.267
45:11.6	-3.396
45:11.6	-3.103
45:11.6	-3.379
45:11.6	-3.193
45:11.6	-3.333
45:11.6	-3.408
45:11.6	-3.04
45:11.6	-3.408
45:11.6	-3.259
45:11.7	-3.123
45:11.7	-3.425
45:11.7	-3.311
45:11.7	-3.281
45:11.7	-3.01
45:11.7	-3.215
45:11.7	-3.42
45:11.7	-3.223
45:11.7	-3.198
45:11.7	-3.13
45:11.7	-3.376
45:11.8	-3.025
45:11.8	-3.242
45:11.8	-3.269
45:11.8	-3.174
45:11.8	-3.257
45:11.8	-3.167
45:11.8	-3.162
45:11.8	-3.279
45:11.8	-2.859
45:11.8	-3.223
45:11.9	-3.23
45:11.9	-3.215
45:11.9	-3.142
45:11.9	-2.942
45:11.9	-3.367
45:11.9	-3.184
45:11.9	-3.027
45:11.9	-3.176
45:11.9	-3.23
45:11.9	-3.132
45:11.9	-3.198
45:12.0	-3.413
45:12.0	-3.14
45:12.0	-2.949
45:12.0	-3.203
45:12.0	-3.35
45:12.0	-3.345
45:12.0	-3.064
45:12.0	-3.088
45:12.0	-3.44
45:12.0	-3.108
45:12.0	-3.286
45:12.1	-3.079
45:12.1	-3.11
45:12.1	-3.376
45:12.1	-3.12
45:12.1	-3.398
45:12.1	-3.259
45:12.1	-3.147
45:12.1	-3.32
45:12.1	-3.337
45:12.1	-3.35
45:12.1	-3.088
45:12.1	-3.347
45:12.2	-3.435
45:12.2	-3.198
45:12.2	-3.384
45:12.2	-3.164
45:12.2	-3.403
45:12.2	-3.047
45:12.2	-3.318
45:12.2	-3.372
45:12.2	-2.942
45:12.2	-3.34
45:12.3	-3.293
45:12.3	-3.416
45:12.3	-3.325
45:12.3	-2.866
45:12.3	-3.425
45:12.3	-3.364
45:12.3	-3.337
45:12.3	-3.35
45:12.3	-3.396
45:12.3	-3.389
45:12.3	-3.223
45:12.4	-3.359
45:12.4	-3.43
45:12.4	-3.34
45:12.4	-3.347
45:12.4	-3.408
45:12.4	-3.391
45:12.4	-3.225
45:12.4	-3.394
45:12.4	-3.425
45:12.4	-3.391
45:12.4	-3.423
45:12.5	-3.411
45:12.5	-3.428
45:12.5	-3.398
45:12.5	-3.42
45:12.5	-3.347
45:12.5	-3.354
45:12.5	-3.391
45:12.5	-3.435
45:12.5	-3.423
45:12.5	-3.252
45:12.5	-3.447
45:12.6	-3.43
45:12.6	-3.425
45:12.6	-3.391
45:12.6	-3.447
45:12.6	-3.43
45:12.6	-3.376
45:12.6	-3.398
45:12.6	-3.445
45:12.6	-3.408
45:12.6	-3.398
45:12.6	-3.418
45:12.7	-3.447
45:12.7	-3.391
45:12.7	-3.33
45:12.7	-3.445
45:12.7	-3.445
45:12.7	-3.44
45:12.7	-3.381
45:12.7	-3.384
45:12.7	-3.445
45:12.7	-3.42
45:12.7	-3.369
45:12.8	-3.44
45:12.8	-3.362
45:12.8	-3.308
45:12.8	-3.425
45:12.8	-3.447
45:12.8	-3.423
45:12.8	-3.132
45:12.8	-3.435
45:12.8	-3.442
45:12.8	-3.406
45:12.8	-3.291
45:12.9	-3.433
45:12.9	-3.437
45:12.9	-3.193
45:12.9	-3.257
45:12.9	-3.435
45:12.9	-3.374
45:12.9	-3.364
45:12.9	-3.335
45:12.9	-3.442
45:12.9	-3.188
45:13.0	-3.201
45:13.0	-3.372
45:13.0	-3.352
45:13.0	-3.384
45:13.0	-3.323
45:13.0	-3.271
45:13.0	-3.342
